orcid,username,ufirstname,ulastname,uemail,ucity,ucountry,uinstitution,udepartment,phone1,cid,cfullname,cstartdate,cenddate,cshortname,cfacultad,course_uri
0000-0002-1282-5507,cpalacios,Carlos Javier,Palacios Morales,cpalacios@uclv.cu,,CU,,,,2071,Curso en Communities,1599364800,1630900800,cucu,Communities,https://moodleredtic.uclv.cu/course/view.php?id=2071
0000-0002-1282-5507,cpalacios,Carlos Javier,Palacios Morales,cpalacios@uclv.cu,,CU,,,,2074,Mooc de Prueba,1608440400,1639976400,mp,Communities,https://moodleredtic.uclv.cu/course/view.php?id=2074
0000-0000-0000-0000,grizly,grizly,meneses placeres,grizly@uclv.edu.cu,,,,,,5,ELINF Managing Team,1594598400,0,ELINF-MT,Communities,https://moodleredtic.uclv.cu/course/view.php?id=5
0000-0000-0000-0000,mgoovaerts,Marc G.J.,Goovaerts,marc.goovaerts@uhasselt.be,,,,,,5,ELINF Managing Team,1594598400,0,ELINF-MT,Communities,https://moodleredtic.uclv.cu/course/view.php?id=5
1234-5476-2335-0996,mosvaldo,Manuel Osvaldo,Machado Rivero,mosvaldo@uclv.edu.cu,,,,,,8,Moodle Development Team,1594598400,0,MOODLE-DT,Communities,https://moodleredtic.uclv.cu/course/view.php?id=8
1234-5476-2335-0996,mosvaldo,Manuel Osvaldo,Machado Rivero,mosvaldo@uclv.edu.cu,,,,,,9,Policies for OS & OE Development Team ,1594598400,0,POSOE-DT,Communities,https://moodleredtic.uclv.cu/course/view.php?id=9
1234-5476-2335-0996,mosvaldo,Manuel Osvaldo,Machado Rivero,mosvaldo@uclv.edu.cu,,,,,,10,VIVO Development Team,1594512000,0,VIVO-DT,Communities,https://moodleredtic.uclv.cu/course/view.php?id=10
1234-5476-2335-0996,mosvaldo,Manuel Osvaldo,Machado Rivero,mosvaldo@uclv.edu.cu,,,,,,5,ELINF Managing Team,1594598400,0,ELINF-MT,Communities,https://moodleredtic.uclv.cu/course/view.php?id=5
0000-0000-0000-0000,yvonne,Ivonne,Collada Peñq,yvonne@uci.cu,,,,,,6,PETICT Development Team,1594598400,0,PETICT-DT,Communities,https://moodleredtic.uclv.cu/course/view.php?id=6
0000-0000-0000-0000,eeg90,Erdin,Espinosa,erdin.espinosa@upr.edu.cu,,,,,,11,DSpace-EsFacil Development Team,1594512000,0,DSPACE-DT,Communities,https://moodleredtic.uclv.cu/course/view.php?id=11
0000-0000-0000-0000,ltmartin,Leandro,Tabares Martín,ltmartin@uci.cu,Havana,CU,,,,14,ABCD 3.0,1576540800,0,abcd30,Communities,https://moodleredtic.uclv.cu/course/view.php?id=14
0000-0000-0000-0000,ltmartin,Leandro,Tabares Martín,ltmartin@uci.cu,Havana,CU,,,,2073,ABCD 3.0 copy 1,1576540800,0,abcd30_1,Communities,https://moodleredtic.uclv.cu/course/view.php?id=2073
